생산지,Car Name,연비,무게,감속비,마력,배기량,실린더 수
U.S.,Buick Estate Wagon,16.900000,4.360000,2.730000,155,350,8
U.S.,Ford Country Squire Wagon,15.500000,4.054000,2.260000,142,351,8
U.S.,Chevy Malibu Wagon,19.200000,3.605000,2.560000,125,267,8
U.S.,Chrysler LeBaron Wagon,18.500000,3.940000,2.450000,150,360,8
U.S.,Chevette,30,2.155000,3.700000,68,98,4
Japan,Toyota Corona,27.500000,2.560000,3.050000,95,134,4
Japan,Datsun 510,27.200000,2.300000,3.540000,97,119,4
U.S.,Dodge Omni,30.900000,2.230000,3.370000,75,105,4
Germany,Audi 5000,20.300000,2.830000,3.900000,103,131,5
Sweden,Volvo 240 GL,17,3.140000,3.500000,125,163,6
Sweden,Saab 99 GLE,21.600000,2.795000,3.770000,115,121,4
France,Peugeot 694 SL,16.200000,3.410000,3.580000,133,163,6
U.S.,Buick Century Special,20.600000,3.380000,2.730000,105,231,6
U.S.,Mercury Zephyr,20.800000,3.070000,3.080000,85,200,6
U.S.,Dodge Aspen,18.600000,3.620000,2.710000,110,225,6
U.S.,AMC Concord D/L,18.100000,3.410000,2.730000,120,258,6
U.S.,Chevy Caprice Classic,17,3.840000,2.410000,130,305,8
U.S.,Ford LTD,17.600000,3.725000,2.260000,129,302,8
U.S.,Mercury Grand Marquis,16.500000,3.955000,2.260000,138,351,8
U.S.,Dodge St Regis,18.200000,3.830000,2.450000,135,318,8
U.S.,Ford Mustang 4,26.500000,2.585000,3.080000,88,140,4
U.S.,Ford Mustang Ghia,21.900000,2.910000,3.080000,109,171,6
Japan,Mazda GLC,34.100000,1.975000,3.730000,65,86,4
Japan,Dodge Colt,35.100000,1.915000,2.970000,80,98,4
U.S.,AMC Spirit,27.400000,2.670000,3.080000,80,121,4
Germany,VW Scirocco,31.500000,1.990000,3.780000,71,89,4
Japan,Honda Accord LX,29.500000,2.135000,3.050000,68,98,4
U.S.,Buick Skylark,28.400000,2.670000,2.530000,90,151,4
U.S.,Chevy Citation,28.800000,2.595000,2.690000,115,173,6
U.S.,Olds Omega,26.800000,2.700000,2.840000,115,173,6
U.S.,Pontiac Phoenix,33.500000,2.556000,2.690000,90,151,4
U.S.,Plymouth Horizon,34.200000,2.200000,3.370000,70,105,4
Japan,Datsun 210,31.800000,2.020000,3.700000,65,85,4
Italy,Fiat Strada,37.300000,2.130000,3.100000,69,91,4
Germany,VW Dasher,30.500000,2.190000,3.700000,78,97,4
Japan,Datsun 810,22,2.815000,3.700000,97,146,6
Germany,BMW 320i,21.500000,2.600000,3.640000,110,121,4
Germany,VW Rabbit,31.900000,1.925000,3.780000,71,89,4
